Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.650112713	12729	3.126930237	29906.05469	0.064046931
0.650124287	12728.09473	2.814777136	29906.05469	0.063964991
0.650135872	12719.55371	2.541495323	29906.05469	0.063949082
0.650147432	12726.58496	2.303889036	29906.05469	0.064020225
0.650159002	12734.32422	2.068263531	29896.61133	0.064057375
0.650170586	12719.77051	1.856323957	29896.61133	0.063959253
0.650182145	12695.61523	1.653907776	29896.61133	0.063909938
0.650193727	12723.57422	1.478378773	29896.61133	0.064005641
0.650205294	12723.3457	1.36491251	29896.61133	0.063993851
0.650216871	12698.36621	1.242330432	29915.68945	0.063891706
0.650228457	12692.0498	1.0833112	29915.68945	0.063864279
0.650240043	12721.96191	0.947740555	29915.68945	0.063969881
0.650251604	12745.69629	0.87965256	29915.68945	0.063994863
0.650263168	12722.36523	0.794919431	29915.68945	0.063963215
0.650274753	12715.87012	0.718111992	29939.25781	0.063901192
0.650286329	12717.40234	0.628745616	29939.25781	0.063903857
0.650297898	12704.46777	0.543593168	29939.25781	0.063903402
0.650309473	12720.1123	0.520029903	29939.25781	0.063925322
0.650321054	12694.19434	0.484616131	29939.25781	0.063826876
0.65033263	12658.12988	0.416447908	29933.04492	0.063807445
0.650344209	12609.87891	0.374218136	29933.04492	0.06370251
0.650355779	12634.64453	0.356303126	29933.04492	0.06377747
0.65036734	12637.31641	0.294180274	29933.04492	0.063810675
0.650378911	12644.62793	0.263670892	29933.04492	0.063767082
0.650390488	12622.26563	0.25164938	29899.62891	0.06381903
0.650402067	12655.92773	0.22591345	29899.62891	0.06388701
0.650413625	12630.60254	0.182982042	29899.62891	0.063787787
0.650425226	12634.31836	0.148647904	29899.62891	0.063894026
0.650436793	12651.28223	0.126350224	29899.62891	0.063843333
0.65044835	12553.19922	0.102495179	29876.32227	0.063789585
0.650459928	12612.2832	0.052195754	29876.32227	0.063813247
0.650471523	12617.98828	0.059281066	29876.32227	0.063800046
0.650483075	12653.38184	0.035269611	29876.32227	0.0638646
0.650494654	12656.25391	0.045711253	29876.32227	0.063939416
0.650506226	12662.43848	0.012647583	29872.62695	0.063923192
