Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.63550626	22805.07031	8.16588974	26278.22266	0.028151083
0.635517818	22781.38867	8.004497528	26219.89453	0.028255069
0.635529391	22801.01758	7.673749924	26219.89453	0.028205375
0.635540973	22804.4082	7.116900444	26219.89453	0.0283799
0.635552539	22787.72656	6.518381596	26219.89453	0.028245011
0.635564119	22808.40039	5.862846375	26219.89453	0.02826817
0.635575703	22795.91992	5.248312473	26129.23242	0.028670031
0.635587264	22799.83203	4.668128014	26129.23242	0.028753732
0.635598868	22791.18359	4.164219856	26129.23242	0.028739125
0.635610433	22794.46289	3.692551613	26129.23242	0.028747327
0.635621996	22756.57031	3.284415722	26129.23242	0.02851344
0.63563357	22771.26563	2.918235064	26089.5625	0.028809192
0.635645131	22793.12695	2.587001085	26089.5625	0.028903884
0.635656702	22785.16992	2.331551313	26089.5625	0.028796659
0.635668288	22801.20508	2.077621698	26089.5625	0.028901094
0.63567986	22774.38867	1.862054944	26089.5625	0.028656752
0.635691443	22745.61914	1.644257665	26020.11523	0.029029026
0.635702998	22772.0918	1.485971808	26020.11523	0.029099924
0.63571459	22806.60938	1.351626277	26020.11523	0.029258017
0.635726156	22774.49219	1.212761521	26020.11523	0.029050358
0.635737752	22771.91602	1.06124723	26020.11523	0.029067217
0.635749308	22783.9375	0.964095533	25970.625	0.029295836
0.635760886	22794.83008	0.898322165	25970.625	0.029408435
0.635772442	22787.01563	0.7973575	25970.625	0.029369465
0.635784039	22748.45313	0.701855004	25970.625	0.029064385
0.6357956	22778.58594	0.640894473	25970.625	0.029210793
0.635807171	22790.74805	0.564216495	25972.32031	0.029337069
0.635818753	22760.62305	0.523695231	25972.32031	0.029125054
0.635830315	22773.07813	0.511830509	25972.32031	0.029272906
0.6358419	22746.33398	0.461539894	25972.32031	0.029151725
0.635853483	22714.66016	0.406882554	25972.32031	0.028976887
0.635865053	22672.72461	0.385991454	25976.62695	0.028795127
0.635876632	22680.86133	0.366536498	25976.62695	0.028849978
0.635888203	22679.96875	0.325825721	25976.62695	0.028846253
0.635899784	22688.99414	0.280135095	25976.62695	0.028787815
0.63591134	22702.67969	0.267657697	25976.62695	0.029022069
0.635922936	22671.44336	0.256038845	26103.29297	0.028294022
0.635934479	22713.78516	0.204716936	26103.29297	0.028487146
0.635946057	22693.68164	0.208096728	26103.29297	0.028437747
0.635957631	22741.67383	0.1663789	26103.29297	0.028562026
0.635969232	22679.9707	0.167051449	26103.29297	0.028307953
0.635980783	22679.13867	0.135671437	26304.79492	0.027479958
0.635992356	22664.57813	0.126615524	26304.79492	0.027495952
0.636003952	22588.62109	0.108453676	26304.79492	0.027074761
0.636015531	22585.79883	0.092314772	26304.79492	0.027080853
0.636027086	22540.32813	0.074694142	26304.79492	0.027014052
