Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.661779397	28253.0293	6.753589153	35844.5	0.018390882
0.661790995	28275.68359	6.760341644	35844.5	0.018688773
0.661802548	28337.8125	6.762203217	35826.92969	0.018482482
0.66181414	28497.94336	6.759373665	35826.92969	0.01874241
0.661825696	28497.75586	6.770085335	35826.92969	0.019062508
0.661837306	28499.76758	6.771554947	35826.92969	0.018650594
0.661848867	28676.23828	6.789551735	35826.92969	0.018895333
0.661860444	28363.33398	6.799433708	35791.69531	0.018592831
0.661871988	28154.59766	6.800181389	35791.69531	0.018362265
0.661883559	27951.67773	6.803992271	35791.69531	0.018095249
0.661895144	28171.69531	6.806880951	35791.69531	0.018623881
0.661906712	28287.55859	6.807554245	35791.69531	0.018683232
0.661918306	28465.98633	6.807971478	35741.93359	0.018726942
0.661929874	28699.22656	6.805978775	35741.93359	0.019221179
0.661941431	28545.66602	6.794425011	35741.93359	0.018929996
0.661953002	28343.81445	6.741012096	35741.93359	0.018607753
0.661964585	28229.18164	6.665779114	35741.93359	0.018531482
0.661976162	28166.64063	6.53842783	35680.15625	0.018699215
0.661987751	28101.72266	6.338466644	35680.15625	0.018447845
0.661999298	28240.51367	6.139301777	35680.15625	0.018611111
0.66201088	28224.95117	5.843413353	35680.15625	0.018775959
0.662022462	28334.09375	5.573900223	35680.15625	0.018762525
0.662034037	28336.41602	5.259217739	35678.00391	0.018797681
0.662045597	28325.71094	4.976446152	35678.00391	0.018714667
0.662057186	28294.77344	4.684051991	35678.00391	0.018701851
0.662068756	28341.08594	4.434342861	35678.00391	0.018761707
0.66208033	28302.15625	4.158663273	35678.00391	0.018716762
0.662091923	28305.94336	3.894779205	35616.41797	0.018843323
0.662103481	28291.13672	3.655712843	35616.41797	0.018821551
0.662115048	28307.77734	3.440175772	35616.41797	0.01884434
0.662126626	28331.17188	3.191241264	35616.41797	0.018874222
0.662138187	28343.63672	2.996696472	35616.41797	0.018865166
0.662149778	28283.02344	2.785524368	35629.27734	0.018776497
0.662161337	28321.62305	2.596320152	35629.27734	0.018805926
0.662172917	28314.79883	2.441206694	35629.27734	0.018793631
0.662184487	28306.4082	2.281868935	35629.27734	0.018824732
0.662196061	28317.16211	2.106867075	35629.27734	0.018824926
0.66220764	28288.26758	1.990509033	35598.83594	0.018794606
0.662219216	28338.85742	1.840808272	35598.83594	0.018906288
0.662230805	28335.77539	1.697878599	35598.83594	0.018898727
0.66224237	28289.35156	1.579079509	35598.83594	0.018828756
0.662253935	28303.23633	1.474910975	35598.83594	0.018826031
0.662265502	28330.96094	1.4006387	35592.39453	0.018870811
0.662277088	28299.82031	1.303227663	35592.39453	0.018874025
0.662288657	28291.59766	1.200775266	35592.39453	0.018836759
0.662300226	28288.02148	1.087202787	35592.39453	0.018835099
0.662311811	28341.12109	1.033033013	35592.39453	0.018863065
0.662323395	28312.27734	0.946126282	35610.86328	0.018850624
0.662334961	28296.49805	0.909191251	35610.86328	0.018801085
0.66234655	28293.50586	0.839160383	35610.86328	0.018818988
0.662358098	28280.50781	0.767948985	35610.86328	0.018815226
