Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.620494686	18120.55664	8.38106823	31528.21094	0.142775162
0.620506251	18116.79492	8.380592346	31528.21094	0.142796439
0.620517821	18152.63281	8.380486488	31528.21094	0.142970102
0.620529419	18125.25586	8.378396034	31439.62891	0.14331406
0.620540992	18136.29297	8.376237869	31439.62891	0.143389089
0.620552542	18089.78906	8.369290352	31439.62891	0.143189968
0.620564142	18121.77734	8.364653587	31439.62891	0.143358705
0.620575718	18122.05078	8.357069969	31439.62891	0.143258972
0.620587262	18128.75781	8.341648102	31281.24609	0.144292279
0.620598877	18133.65234	8.355366707	31281.24609	0.144300071
0.620610451	18116.16602	8.350624085	31281.24609	0.144147347
0.620621991	18101.04688	8.36000824	31281.24609	0.144135674
0.620633573	18105.99023	8.362976074	31281.24609	0.144036393
0.620645171	18118.38672	8.312153816	31118.77539	0.14510486
0.620656727	18125.13281	8.228835106	31118.77539	0.145369268
0.620668273	18126.54883	8.064273834	31118.77539	0.145144114
0.620679883	18120.12305	7.851096153	31118.77539	0.14522428
0.620691429	18131.89648	7.509754658	31118.77539	0.145086283
0.620703012	18108.58203	7.016602039	30989.53711	0.145810775
0.620714591	18119.99609	6.468694687	30989.53711	0.145890348
0.62072616	18104.11523	5.863040924	30989.53711	0.146104677
0.620737726	18127.39258	5.290057659	30989.53711	0.145847445
0.620749339	18125.12109	4.730496407	30989.53711	0.146038425
0.620760897	18135.18164	4.249349594	30857.23633	0.146772252
0.620772449	18097.88281	3.789111853	30857.23633	0.146516798
0.620784039	18132.19336	3.385361671	30857.23633	0.146764022
0.620795613	18106.61914	3.009828806	30857.23633	0.146668333
0.620807173	18118.60352	2.670022965	30857.23633	0.146719676
0.620818755	18125.24414	2.419421434	30715.77539	0.147655258
0.620830322	18097.55664	2.145173788	30715.77539	0.147439216
0.620841908	18097.73828	1.956343532	30715.77539	0.147609869
0.620853487	18105.61328	1.692570329	30715.77539	0.14737068
0.620865082	18081.85352	1.532253265	30715.77539	0.147492613
0.620876641	18107.66992	1.406481504	30603.03125	0.148134744
0.620888196	18115.60938	1.264982104	30603.03125	0.148230491
0.620899768	18113.10547	1.105276465	30603.03125	0.148223048
0.620911367	18085.16016	1.015778184	30603.03125	0.148143458
0.620922912	18082.69727	0.919857621	30603.03125	0.148094855
0.620934514	18104.36328	0.862856329	30483.4043	0.148891096
0.62094606	18081	0.744730532	30483.4043	0.148784781
