Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.588503948	14689.99707	8.689675331	30374.51758	0.066652544
0.588515522	15185.10254	8.695762634	30357.60938	0.067865755
0.588527084	15561.5293	8.697350502	30357.60938	0.068586016
0.588538669	15782.22949	8.697610855	30357.60938	0.069034612
0.58855025	15982.80273	8.695339203	30357.60938	0.069637164
0.588561797	16199.62109	8.694925308	30357.60938	0.070022562
0.58857338	16357.38477	8.69890213	30330.42578	0.070497942
0.588584954	16579.78516	8.695225716	30330.42578	0.070844868
0.588596536	16643.68164	8.698354721	30330.42578	0.071064524
0.588608123	16690.71484	8.695672989	30330.42578	0.071215523
0.588619674	16725.95313	8.696702957	30330.42578	0.071256578
0.588631236	16681.0918	8.696865082	30299.31641	0.071235408
0.588642835	16426.58203	8.697273254	30299.31641	0.070344227
0.588654405	15982.52832	8.695557594	30299.31641	0.069385488
0.58866598	15663.58789	8.696295738	30299.31641	0.0687639
0.588677546	15304.7373	8.695018768	30299.31641	0.067676177
0.588689127	14765.86328	8.696045876	30280.21875	0.066766587
0.588700697	14126.32715	8.693944931	30280.21875	0.065560578
0.588712265	13842.54688	8.701823235	30280.21875	0.065079682
0.588723856	13814.15723	8.692790985	30280.21875	0.065182888
0.588735418	13855.57227	8.690727234	30280.21875	0.065202193
0.588747004	13768.40625	8.693410873	30273.58398	0.065046524
0.58875857	13755.45605	8.695201874	30273.58398	0.065113116
0.588770146	13779.36914	8.692322731	30273.58398	0.065043803
0.588781736	13810.37305	8.696779251	30273.58398	0.065209331
0.588793295	13802.09277	8.690975189	30273.58398	0.065178701
0.588804872	14077.4834	8.689915657	30257.50586	0.065783459
0.588816447	14018.25488	8.693353653	30257.50586	0.065550409
0.588828019	13975.27051	8.695689201	30257.50586	0.065553807
0.588839593	14069.28613	8.692303658	30257.50586	0.065731246
0.588851175	13948.00195	8.695874214	30257.50586	0.065374975
0.588862721	13923.65723	8.698457718	30221.70313	0.065461264
0.588874296	13744.68164	8.69625473	30221.70313	0.065021655
0.588885878	13500.77539	9.021716118	30221.70313	0.064605098
0.588897465	13381.19531	8.888019562	30221.70313	0.064468348
0.588909019	13334.00879	8.74270916	30221.70313	0.064391054
0.588920611	13200.14844	8.711302757	30235.65625	0.064082762
0.588932186	13021.2959	8.701926231	30235.65625	0.06373
0.588943746	12885.72461	8.70152092	30235.65625	0.063570218
0.588955317	12742.60254	8.696029663	30235.65625	0.063368303
0.588966892	12506.25781	8.691464424	30235.65625	0.062925187
0.588978465	12520.80566	8.697275162	30214.69336	0.063115098
0.588990064	12678.64453	8.694174767	30214.69336	0.063308761
0.589001636	12600.46094	8.694410324	30214.69336	0.063060246
0.5890132	12498.34668	8.689129829	30214.69336	0.063009455
0.589024788	12686.06641	8.690802574	30214.69336	0.063332959
0.589036349	12882.63379	8.697477341	30240.61523	0.063735457
0.589047923	13018.36523	8.699307442	30240.61523	0.063842233
0.589059484	12907.05957	8.70003891	30240.61523	0.063528783
0.589071054	12721.80371	8.692527771	30240.61523	0.06323813
0.589082634	12829.56543	8.693552017	30240.61523	0.063557127
0.589094204	12965.80371	8.691362381	30232.00391	0.063781113
0.589105789	13084.63379	8.700655937	30232.00391	0.063944966
0.589117375	13138.06152	8.702776909	30232.00391	0.064001915
0.589128935	13167.97852	8.692728996	30232.00391	0.064143509
0.58914052	13279.38574	8.689947128	30232.00391	0.064408635
0.589152073	13302.81152	8.692018509	30200.92578	0.064455915
0.589163682	13366.39258	8.68370533	30200.92578	0.064524225
0.589175222	13359.52051	8.69197464	30200.92578	0.064443399
0.589186804	13209.50195	8.688623428	30200.92578	0.064214321
0.589198385	13217.36621	8.67419529	30200.92578	0.06425916
0.589209951	13207.53223	8.703785896	30227.28711	0.064175555
0.58922153	13245.10156	8.695623398	30227.28711	0.064256536
0.589233094	13369.96191	8.688408852	30227.28711	0.064490033
0.589244685	13469.93848	8.684327126	30227.28711	0.064771132
0.589256257	13532.14355	8.711468697	30227.28711	0.064779774
0.589267836	13609.74609	8.69997406	30218.10547	0.064912369
0.589279421	13582.09277	8.682658196	30218.10547	0.064863825
0.58929098	13361.92285	8.686685562	30218.10547	0.06438138
0.589302543	13060.64941	8.677968979	30218.10547	0.063808855
0.589314122	12770.84473	8.688732147	30218.10547	0.063372643
0.589325714	12652.47363	8.715834618	30223.63086	0.063129138
0.58933726	12451.36914	8.672105789	30223.63086	0.062849665
0.589348866	12249.05371	8.685769081	30223.63086	0.062479024
0.589360439	12134.61523	8.682734489	30223.63086	0.06242303
0.589372006	12417.16797	8.67757225	30223.63086	0.062978979
0.589383572	12716.25781	8.684281349	30221.32617	0.063378511
0.589395146	12891.58301	8.681265831	30221.32617	0.063702278
0.589406702	12966.42676	8.687372208	30221.32617	0.063808209
0.589418303	13040.59082	8.681347847	30221.32617	0.063881952
0.589429882	12942.89258	8.689949989	30221.32617	0.063669378
0.589441426	12729.39844	8.684911728	30254.76953	0.063204681
0.589453014	12593.5459	8.685117722	30254.76953	0.062965441
0.589464583	12453.28223	8.689553261	30254.76953	0.062801378
0.589476174	12398.30371	8.679875374	30254.76953	0.062776975
0.589487756	12488.48047	8.677719116	30254.76953	0.062931029
0.589499317	12380.84082	8.692846298	30252.35938	0.062709938
0.589510903	12343.36133	8.69349575	30252.35938	0.062719696
0.589522474	12361.01465	8.690267563	30252.35938	0.062652829
0.58953406	12382.68457	8.692751885	30252.35938	0.062732778
0.589545626	12221.05664	8.746678352	30252.35938	0.062280551
0.589557173	11640.4043	8.651835442	30220.8457	0.061350026
0.589568742	10735.62402	8.696045876	30220.8457	0.059873241
0.589580348	9781.551758	8.676854134	30220.8457	0.058680774
0.589591892	9079.491211	8.690535545	30220.8457	0.057924289
0.589603473	8429.59082	8.675369263	30220.8457	0.057124836
0.589615054	7997.416504	8.681184769	30274.47266	0.056584843
0.58962661	7434.967285	8.679162979	30274.47266	0.055928545
0.589638191	6860.819336	8.681279182	30274.47266	0.055292862
0.589649771	6361.618164	8.684706688	30274.47266	0.054797404
0.589661364	5923.883789	8.681294441	30274.47266	0.054397217
0.589672918	5746.958984	8.686006546	30299.72656	0.054257741
0.589684514	5704.129883	8.710063934	30299.72656	0.05421943
0.589696055	5578.855957	8.70284462	30299.72656	0.05402246
0.589707641	5401.506348	8.719968796	30299.72656	0.053838021
0.589719211	5257.470215	8.681502342	30299.72656	0.053823165
0.589730792	5410.47998	8.688473702	30337.65234	0.053886366
0.589742355	5188.51416	8.683060646	30337.65234	0.0536088
0.589753949	4869.697754	8.681553841	30337.65234	0.053312688
0.589765532	4675.40918	8.682541847	30337.65234	0.053167678
0.58977709	4646.040527	8.682458878	30337.65234	0.053123932
0.589788673	4798.869629	8.676674843	30358.67383	0.053306504
0.58980024	4693.796387	8.683404923	30358.67383	0.053215528
0.589811815	4770.457031	8.680169106	30358.67383	0.053233379
0.589823399	4589.213867	8.664349556	30358.67383	0.053054828
0.589834955	4592.357422	8.7272892	30358.67383	0.053117417
0.589846519	4826.07373	8.685264587	30415.28516	0.053309063
0.589858096	4841.03418	8.674191475	30415.28516	0.053173033
0.589869699	4766.957031	8.679948807	30415.28516	0.053203404
0.589881251	4583.174316	8.676932335	30415.28516	0.0529787
0.589892819	4689.773438	8.675794601	30415.28516	0.053133942
0.5899044	4624.583008	8.662503243	30420.86914	0.053100588
0.589915978	4810.07959	8.682880402	30420.86914	0.053225972
0.589927564	4944.932129	8.678423882	30420.86914	0.053337737
0.589939142	4915.647949	8.688950539	30420.86914	0.053239439
0.589950692	4679.94873	8.660916328	30420.86914	0.053038121
0.589962281	4638.075684	8.674768448	30467.1875	0.053039849
0.589973855	4615.622559	8.677197456	30467.1875	0.052960513
0.589985425	4608.113281	8.663013458	30467.1875	0.052887889
0.589996992	4622.871094	8.666212082	30467.1875	0.052997448
0.590008576	4597.928711	8.683793068	30467.1875	0.052927537
0.590020141	4632.632813	8.677474976	30513.63867	0.052988552
0.590031722	4654.391113	8.676513672	30513.63867	0.052974101
0.590043305	4724.184082	8.674592018	30513.63867	0.053016703
0.590054861	4548.067871	8.673846245	30513.63867	0.052826024
