Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air slope ()	air valve control ()
0.618817573	331.8803711	9.520147324	35414.94922	9397899.552	0.020553857
0.618829133	300.3371887	9.52031517	35278.54688	9397899.552	0.020593637
0.61884055	321.3512268	9.520109177	35278.54688	9397899.552	0.020602426
0.618852284	336.4835815	9.519523621	35278.54688	9397899.552	0.020606655
0.618863856	307.33078	9.519870758	35278.54688	9397899.552	0.020597123
0.618875432	307.6098022	9.518807411	35278.54688	9397899.552	0.020590069
0.618887014	315.7845154	9.517835617	35203.8125	9397899.552	0.020623818
0.618898581	341.6000671	9.518378258	35203.8125	9397899.552	0.020633412
0.618910152	335.2469482	9.515727997	35203.8125	9397899.552	0.020624987
0.618921756	336.8415833	9.510082245	35203.8125	9397899.552	0.020628207
0.618933309	2044.921753	9.513086319	35203.8125	9397899.552	0.021069336
0.618944878	2621.147949	9.514362335	35218.03906	9397899.552	0.021385914
0.618956388	2856.317383	9.516771317	35218.03906	9397899.552	0.021243296
0.618968024	2843.626221	9.516221046	35218.03906	9397899.552	0.021282709
0.618979603	2877.289063	9.515458107	35218.03906	9397899.552	0.021379827
0.618991142	3117.772461	9.517119408	35218.03906	9397899.552	0.021287911
0.619002741	2964.659668	9.515758514	35146.36719	9397899.552	0.021364801
0.619014199	2741.532471	9.539826393	35146.36719	9397899.552	0.021324005
0.619025904	3198.82666	9.520216942	35146.36719	9397899.552	0.021327427
0.619037466	2891.586914	9.523405075	35146.36719	9397899.552	0.02139521
0.619049054	2514.703857	9.520762444	35146.36719	9397899.552	0.021204449
0.619060611	3340.523682	9.521499634	35103.70313	9397899.552	0.021381337
0.619072161	2798.496582	9.52040863	35103.70313	9397899.552	0.021386487
0.619083777	2490.649902	9.502141953	35103.70313	9397899.552	0.021211226
0.619095095	3285.232178	9.521654129	35103.70313	9397899.552	0.021392977
0.619106919	2806.736084	9.414889336	35103.70313	9397899.552	0.021388908
0.619118504	2563.393555	9.51654911	35146.75391	9397899.552	0.021197668
0.619130066	3284.146484	9.520623207	35146.75391	9397899.552	0.021371148
0.619141657	2848.79834	9.519034386	35146.75391	9397899.552	0.021376817
0.619153217	2563.02832	9.519218445	35146.75391	9397899.552	0.021206122
0.619164733	3356.60791	9.518429756	35146.75391	9397899.552	0.021379179
0.619176374	2774.804443	9.515160561	35257.27734	9397899.552	0.021306919
0.619187942	2533.995605	9.512143135	35257.27734	9397899.552	0.021162095
0.619199535	3312.210449	9.508193016	35257.27734	9397899.552	0.021350676
0.619211075	2816.806152	9.49967289	35257.27734	9397899.552	0.021322541
0.619222683	2575.724365	9.492497444	35257.27734	9397899.552	0.021179465
0.619234241	3218.411377	9.490468025	35339.42969	9397899.552	0.021347864
0.619245812	2837.017334	9.486537933	35339.42969	9397899.552	0.021285115
0.619257368	2583.034668	9.479387283	35339.42969	9397899.552	0.021125538
0.619268861	3186.100342	9.469252586	35339.42969	9397899.552	0.021358034
0.619280522	2773.40918	9.493835449	35339.42969	9397899.552	0.021226003
0.619292114	2659.041504	9.454632759	35276.79688	9397899.552	0.021176464
0.619303695	3205.490723	9.436588287	35276.79688	9397899.552	0.021437759
0.619315277	2767.833252	9.445264816	35276.79688	9397899.552	0.021226045
0.619326796	2697.127441	9.456542015	35276.79688	9397899.552	0.021185182
0.619338397	3168.630859	9.449414253	35276.79688	9397899.552	0.021489396
0.619349967	2770.890869	9.451724052	35357.21094	9397899.552	0.021199705
0.619361408	2712.40918	9.452255249	35357.21094	9397899.552	0.021156051
0.619373132	3091.610107	9.452739716	35357.21094	9397899.552	0.021488929
0.619384708	2741.57251	9.457586289	35357.21094	9397899.552	0.02117958
0.619396277	2753.373047	9.476687431	35357.21094	9397899.552	0.021170519
0.619407839	2647.484375	9.4868536	35432.10156	9397899.552	0.021217447
0.619419216	2408.806396	9.460598946	35432.10156	9397899.552	0.021071823
0.619430994	3221.036621	9.440710068	35432.10156	9397899.552	0.021257405
0.619442574	2763.982666	9.45046711	35432.10156	9397899.552	0.021248097
0.619454135	2549.382568	9.425456047	35432.10156	9397899.552	0.021093476
0.619465717	3307.897705	9.438135147	35546.25391	9397899.552	0.021214442
0.619477308	2742.653809	9.445058823	35546.25391	9397899.552	0.021187727
0.619488886	2445.601318	9.453166962	35546.25391	9397899.552	0.02103178
0.619500406	2673.115234	9.455012322	35546.25391	9397899.552	0.021106126
0.619511937	2672.012695	9.463640213	35546.25391	9397899.552	0.021200094
0.619523589	2613.64209	9.464931488	35639.80078	9397899.552	0.021037767
0.619535164	2738.327637	9.456534386	35639.80078	9397899.552	0.021113591
0.619546747	2486.633545	9.502847672	35639.80078	9397899.552	0.021058639
0.619558312	2581.025879	9.441366196	35639.80078	9397899.552	0.021028142
0.619569903	2573.626709	9.411945343	35639.80078	9397899.552	0.021098356
0.619581314	2409.928711	9.412707329	35728.40234	9397899.552	0.02097151
0.619593055	2693.085205	9.436412811	35728.40234	9397899.552	0.021019816
0.619604622	2571.545166	9.429508209	35728.40234	9397899.552	0.021092866
0.619616153	2411.869385	9.416991234	35728.40234	9397899.552	0.020965234
0.619627758	2658.593506	9.40218544	35728.40234	9397899.552	0.021034613
0.619639323	2525.285645	9.415635109	35831.83984	9397899.552	0.021006658
