Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air slope ()	air valve control ()
0.622683347	536.9997559	9.390974045	37949.89844	9397899.552	0.01979047
0.622694909	545.2321777	9.389870644	37949.89844	9397899.552	0.019788632
0.622706204	533.1472778	9.389980316	37976	9397899.552	0.019786196
0.622718052	525.1148682	9.386256218	37976	9397899.552	0.019779006
0.622729548	546.0722046	9.386451721	37976	9397899.552	0.019788089
0.622741126	515.4489746	9.384133339	37976	9397899.552	0.019772714
0.622752789	542.2595825	9.379803658	37976	9397899.552	0.019780198
0.622764353	545.083252	9.377229691	37503.89453	9397899.552	0.019928775
0.622775931	656.5205078	9.37242794	37503.89453	9397899.552	0.019941203
0.622787507	2357.378662	9.373036385	37503.89453	9397899.552	0.020342682
0.622799055	2803.739502	9.372249603	37503.89453	9397899.552	0.020600982
0.622810632	2691.287842	9.370124817	37503.89453	9397899.552	0.020401562
0.622822216	3256.243164	9.367446899	37514.36719	9397899.552	0.020562402
0.622833788	2789.62793	9.367431641	37514.36719	9397899.552	0.020504625
0.622845301	2794.332031	9.366815567	37514.36719	9397899.552	0.020412603
0.622856933	3111.622314	9.368123055	37514.36719	9397899.552	0.020632688
0.622868525	2615.702637	9.36985302	37514.36719	9397899.552	0.020383665
0.622880086	2784.925049	9.370632172	37530.25391	9397899.552	0.020416786
0.622891672	2961.828613	9.369146347	37530.25391	9397899.552	0.020652061
0.622903251	2725.716553	9.372083664	37530.25391	9397899.552	0.020384604
0.622914799	3060.789307	9.373659134	37530.25391	9397899.552	0.02050484
0.62292632	2876.018555	9.375100136	37530.25391	9397899.552	0.020570345
0.622937969	2898.97583	9.401227951	37533.4375	9397899.552	0.02042897
0.622949546	2768.479736	9.378126144	37533.4375	9397899.552	0.020445453
0.6229611	2512.369385	9.379496574	37533.4375	9397899.552	0.020404962
0.622972573	3173.715332	9.382508278	37533.4375	9397899.552	0.020468295
0.622984254	2708.398926	9.371557236	37533.4375	9397899.552	0.020501975
0.622995784	2511.892578	9.405427933	37540.74609	9397899.552	0.020360279
0.623007408	3144.185547	9.390741348	37540.74609	9397899.552	0.020509688
0.623018989	2768.705322	9.289764404	37540.74609	9397899.552	0.020509805
0.62303055	2558.126221	9.357486725	37540.74609	9397899.552	0.020370589
0.623042113	3242.383545	9.433515549	37540.74609	9397899.552	0.020549362
0.623053709	2708.553955	9.372712135	37555.76563	9397899.552	0.020450216
0.623065268	2562.749023	9.373000145	37555.76563	9397899.552	0.020357057
0.623076846	3147.542236	9.248023987	37555.76563	9397899.552	0.020611135
0.623088433	2602.441162	9.361829758	37555.76563	9397899.552	0.020369758
0.623099967	2816.125488	9.33920002	37555.76563	9397899.552	0.020411989
0.623111531	2568.783691	9.326878548	37562.44141	9397899.552	0.020442674
0.623123128	2457.352295	9.361368179	37562.44141	9397899.552	0.020338918
0.62313473	3200.338379	9.39266777	37562.44141	9397899.552	0.020555644
0.623146291	2636.376465	9.405921936	37562.44141	9397899.552	0.020403324
0.623157881	2661.178711	9.367934227	37562.44141	9397899.552	0.020379432
0.623169429	3034.533691	9.395975113	37555.11328	9397899.552	0.0206611
0.623180998	2642.92334	9.402233124	37555.11328	9397899.552	0.020373272
0.623192587	2967.657227	9.331988335	37555.11328	9397899.552	0.020453711
0.623204156	2852.543701	9.369486809	37555.11328	9397899.552	0.02057266
0.62321574	2848.183594	9.3667202	37555.11328	9397899.552	0.020403024
0.623227295	2897.4104	9.373631477	37603.76172	9397899.552	0.02049458
0.62323889	2534.074707	9.36780262	37603.76172	9397899.552	0.020338243
0.623250398	3184.053955	9.356219292	37603.76172	9397899.552	0.020439514
0.623262034	2702.380127	9.34769249	37603.76172	9397899.552	0.02048226
0.623273582	2414.118652	9.349718094	37603.76172	9397899.552	0.02030907
0.623285173	3232.056641	9.336357117	37584.42578	9397899.552	0.02047683
0.623296742	2663.318359	9.369577408	37584.42578	9397899.552	0.020443118
0.623308315	2434.18335	9.378479004	37584.42578	9397899.552	0.020331314
0.623319889	3160.992432	9.391863823	37584.42578	9397899.552	0.020498186
0.62333146	2724.74585	9.415419579	37584.42578	9397899.552	0.020471048
0.623343057	2703.382324	9.387765884	37625.02344	9397899.552	0.020365935
0.623354615	3152.673096	9.416067123	37625.02344	9397899.552	0.020595145
0.6233662	2644.339111	9.412568092	37625.02344	9397899.552	0.020373488
0.623377791	2906.108643	9.420395851	37625.02344	9397899.552	0.020390308
0.623389339	2957.644531	9.444590569	37625.02344	9397899.552	0.020588734
0.62340092	2724.558105	9.441749573	37622.82813	9397899.552	0.020356421
0.623412489	2995.575928	9.461921692	37622.82813	9397899.552	0.02045234
0.623424066	1159.911865	9.462251663	37622.82813	9397899.552	0.019866545
0.62343566	42.0328331	9.416823387	37622.82813	9397899.552	0.01977238
0.623447214	280.4291992	9.440317154	37622.82813	9397899.552	0.019901869
0.623458781	-33.88011169	9.459364891	37601.375	9397899.552	0.019764393
0.623470375	-31.10935593	9.379799843	37601.375	9397899.552	0.019767019
0.623481931	16.48357201	9.401831627	37601.375	9397899.552	0.019769071
0.623493514	-9.689756393	9.420664787	37601.375	9397899.552	0.019770715
0.623505093	-14.26460552	9.492740631	37601.375	9397899.552	0.019788802
0.623516654	-56.46347427	9.410148621	37621.76563	9397899.552	0.019757993
0.623528237	27.28024292	9.363024712	37621.76563	9397899.552	0.0197507
0.623539819	-60.38931656	9.358590126	37621.76563	9397899.552	0.019757162
0.623551379	31.54171562	9.350528717	37621.76563	9397899.552	0.019758903
0.623562953	573.4846191	9.399643898	37621.76563	9397899.552	0.020016057
0.623574539	1571.783447	7.574155808	37634.20703	9397899.552	0.020102783
0.623586125	2382.289551	-0.442696273	37634.20703	9397899.552	0.020467732
0.623597692	2502.474365	-0.721495152	37634.20703	9397899.552	0.020317241
0.623609263	3164.630127	-0.450930923	37634.20703	9397899.552	0.020514051
0.623620817	3727.947021	-0.460126013	37634.20703	9397899.552	0.02080721
0.623632394	4476.566895	-0.491988778	37621.75781	9397899.552	0.020844126
0.623643976	5451.928223	-0.613164187	37621.75781	9397899.552	0.021195572
0.623655545	5456.624023	-0.499205947	37621.75781	9397899.552	0.021167965
0.623667137	5539.603027	-0.540002644	37621.75781	9397899.552	0.021144474
0.623678705	6414.668457	-0.611754894	37621.75781	9397899.552	0.021523399
0.623690269	6380.628418	-0.535430253	37612.73047	9397899.552	0.021417342
0.623701856	6368.726074	-0.50585562	37612.73047	9397899.552	0.021371766
0.623713419	7148.787109	-0.522260428	37612.73047	9397899.552	0.021779914
0.623724992	7263.514648	-0.556666553	37612.73047	9397899.552	0.021694823
0.623736575	8038.871582	-0.527648032	37612.73047	9397899.552	0.021881867
0.623748147	8342.450195	-0.435377508	37600.55859	9397899.552	0.022161843
0.623759722	8373.952148	-0.68792516	37600.55859	9397899.552	0.022010711
0.623771282	9448.302734	-0.511539757	37600.55859	9397899.552	0.022404876
0.623782858	9770.145508	-0.474385113	37600.55859	9397899.552	0.022614798
0.623794463	10146.23535	-0.490750849	37600.55859	9397899.552	0.022740767
0.623806007	10960.33301	-0.518467784	37566.00391	9397899.552	0.022976988
0.623817578	11447.96191	-0.407656163	37566.00391	9397899.552	0.023231837
0.623829159	12123.91211	-0.371196896	37566.00391	9397899.552	0.023734254
0.623840743	13008.87207	-0.685771585	37566.00391	9397899.552	0.023841992
0.623852303	14317.37598	-0.497905284	37566.00391	9397899.552	0.024406816
0.623863874	14516.98047	-0.485619456	37563.92969	9397899.552	0.024578344
0.623875456	15265.68848	4.818082809	37563.92969	9397899.552	0.025203881
0.623887037	16358.83203	28.84872246	37563.92969	9397899.552	0.025541728
0.6238986	17061.32617	20.37243271	37563.92969	9397899.552	0.025847734
0.623910179	17954.27734	18.98816109	37563.92969	9397899.552	0.026526521
0.623921758	18692.66797	16.36409187	37420.91406	9397899.552	0.027409163
0.623933321	19302.15625	14.51349354	37420.91406	9397899.552	0.027521713
0.623944898	19614.45703	13.70728874	37420.91406	9397899.552	0.027672099
0.623956491	19942.99414	12.99335194	37420.91406	9397899.552	0.027860091
0.623967986	20748.19922	12.40513325	37420.91406	9397899.552	0.028478049
0.623979622	21717.11133	12.01594925	37419.21875	9397899.552	0.029455944
0.623991185	22162.95508	11.61717701	37419.21875	9397899.552	0.029816126
0.624002761	22477.59375	11.29535484	37419.21875	9397899.552	0.030163487
0.624014343	23266.17383	11.17004299	37419.21875	9397899.552	0.031177865
0.624025934	24283.86133	11.00419331	37419.21875	9397899.552	0.032325422
0.624037481	24838.03906	10.82823753	37445.32813	9397899.552	0.032731038
0.624049066	25487.07617	10.55545712	37445.32813	9397899.552	0.033839386
0.624060631	26182.70898	10.50025845	37445.32813	9397899.552	0.034811313
0.624072204	26607.76172	10.22636318	37445.32813	9397899.552	0.035042943
0.624083794	27203.77148	10.43743038	37445.32813	9397899.552	0.036300517
0.624095366	27947.99023	10.20031929	37472.20703	9397899.552	0.037494734
0.62410693	28325.81445	10.18039322	37472.20703	9397899.552	0.037953848
0.624118499	28683.55078	9.99707222	37472.20703	9397899.552	0.03880084
0.624130091	29326.75977	10.07356644	37472.20703	9397899.552	0.040215022
0.624141665	29756.81836	10.04279804	37472.20703	9397899.552	0.041846443
0.624153236	30398.06445	9.966795921	37507.53516	9397899.552	0.043137026
0.62416481	30715.22852	9.98273468	37507.53516	9397899.552	0.044159115
0.624176402	31276.53516	9.693037033	37507.53516	9397899.552	0.046552395
